"","id","date","depVar","measured","variable","value"
"1",1,"1931",77.1,76.9457203227556,"tfr",-107.897094755556
"2",2,"1932",92.9,77.1730711817556,"tfr",-103.985825070667
"3",3,"1933",98.3,87.1044825715555,"tfr",-96.5678998062222
"4",4,"1934",88.1,86.1816924822,"tfr",-94.5111114374444
"5",5,"1935",79.4,91.7008189678445,"tfr",-92.8926550161111
"6",6,"1936",91,99.8403644301333,"tfr",-90.9033023315556
"7",7,"1937",100.4,102.696782694533,"tfr",-89.217410226
"8",8,"1938",108.9,115.616574807911,"tfr",-91.0718915421111
"9",9,"1939",123.6,126.455713272467,"tfr",-89.4871529628889
"10",10,"1940",157.3,114.039996797022,"tfr",-93.2635512793333
"11",11,"1941",154.3,101.387589434556,"tfr",-95.4889288586667
"12",12,"1942",143.9,95.7951674495111,"tfr",-99.9396840173333
"13",13,"1943",147.5,119.669496209156,"tfr",-102.535957859889
"14",14,"1944",97.3,127.335127312378,"tfr",-101.490704754444
"15",15,"1945",76.6,125.493330606067,"tfr",-101.760447491333
"16",16,"1946",72.8,97.242973828,"tfr",-113.763999282889
"17",17,"1947",68.9,79.4349055645111,"tfr",-119.529750283889
"18",18,"1948",66.7,74.5197225642,"tfr",-116.023094704333
"19",19,"1949",55,71.8527422957333,"tfr",-116.528862336
"20",20,"1950",55,66.6707118860222,"tfr",-116.495144493889
"21",21,"1951",55,63.0988269508667,"tfr",-118.113600915222
"22",22,"1952",54.7,58.1323292937333,"tfr",-122.766663126556
"23",23,"1953",47.9,46.9730135429778,"tfr",-125.464090495444
"24",24,"1954",49,49.4306536557111,"tfr",-129.071899601333
"25",25,"1955",44.4,42.5967832464222,"tfr",-129.173053127667
"26",26,"1956",40.2,41.2418994315111,"tfr",-130.083434864667
"27",27,"1957",43.8,51.0901838815333,"tfr",-132.342530286111
"28",28,"1958",49.5,58.6041271026889,"tfr",-130.825227391111
"29",29,"1959",50.4,47.3079792148,"tfr",-132.679708707222
"30",30,"1960",59.6,60.3829997335778,"tfr",-131.330995022778
"31",31,"1961",72.4,71.0082897950444,"tfr",-129.476513706667
"32",32,"1962",70.6,70.3584319447333,"tfr",-126.644214969333
"33",33,"1963",82,79.2947630584889,"tfr",-123.710762705667
"34",34,"1964",89.5,84.3682062310222,"tfr",-118.079883073111
"35",35,"1965",101.3,91.7731014331333,"tfr",-106.042613439444
"36",36,"1966",116.7,108.826658157933,"tfr",-94.8145720164444
"37",37,"1967",115.2,115.888911518289,"tfr",-87.1943396993333
"38",38,"1968",122.9,125.225403103089,"tfr",-82.3052525932222
"39",1,"1931",77.1,76.9457203227556,"partic",79.485638778
"40",2,"1932",92.9,77.1730711817556,"partic",79.485638778
"41",3,"1933",98.3,87.1044825715555,"partic",79.825320995
"42",4,"1934",88.1,86.1816924822,"partic",80.504685429
"43",5,"1935",79.4,91.7008189678445,"partic",80.844367646
"44",6,"1936",91,99.8403644301333,"partic",81.52373208
"45",7,"1937",100.4,102.696782694533,"partic",81.863414297
"46",8,"1938",108.9,115.616574807911,"partic",82.203096514
"47",9,"1939",123.6,126.455713272467,"partic",82.882460948
"48",10,"1940",157.3,114.039996797022,"partic",83.222143165
"49",11,"1941",154.3,101.387589434556,"partic",83.561825382
"50",12,"1942",143.9,95.7951674495111,"partic",91.034834156
"51",13,"1943",147.5,119.669496209156,"partic",113.114178261
"52",14,"1944",97.3,127.335127312378,"partic",113.793542695
"53",15,"1945",76.6,125.493330606067,"partic",112.434813827
"54",16,"1946",72.8,97.242973828,"partic",85.939600901
"55",17,"1947",68.9,79.4349055645111,"partic",82.542778731
"56",18,"1948",66.7,74.5197225642,"partic",81.863414297
"57",19,"1949",55,71.8527422957333,"partic",82.203096514
"58",20,"1950",55,66.6707118860222,"partic",80.504685429
"59",21,"1951",55,63.0988269508667,"partic",82.203096514
"60",22,"1952",54.7,58.1323292937333,"partic",81.52373208
"61",23,"1953",47.9,46.9730135429778,"partic",79.145956561
"62",24,"1954",49,49.4306536557111,"partic",78.806274344
"63",25,"1955",44.4,42.5967832464222,"partic",80.165003212
"64",26,"1956",40.2,41.2418994315111,"partic",83.222143165
"65",27,"1957",43.8,51.0901838815333,"partic",86.958647552
"66",28,"1958",49.5,58.6041271026889,"partic",88.657058637
"67",29,"1959",50.4,47.3079792148,"partic",90.015787505
"68",30,"1960",59.6,60.3829997335778,"partic",94.431656326
"69",31,"1961",72.4,71.0082897950444,"partic",98.847525147
"70",32,"1962",70.6,70.3584319447333,"partic",98.50784293
"71",33,"1963",82,79.2947630584889,"partic",98.50784293
"72",34,"1964",89.5,84.3682062310222,"partic",104.282440619
"73",35,"1965",101.3,91.7731014331333,"partic",106.320533921
"74",36,"1966",116.7,108.826658157933,"partic",110.396720525
"75",37,"1967",115.2,115.888911518289,"partic",115.152271563
"76",38,"1968",122.9,125.225403103089,"partic",114.812589346
"77",1,"1931",77.1,76.9457203227556,"degrees",-3.22484994284444
"78",2,"1932",92.9,77.1730711817556,"degrees",-3.35488421473333
"79",3,"1933",98.3,87.1044825715555,"degrees",-3.61495275851111
"80",4,"1934",88.1,86.1816924822,"degrees",-3.53693219537778
"81",5,"1935",79.4,91.7008189678445,"degrees",-3.43290477786667
"82",6,"1936",91,99.8403644301333,"degrees",-3.43290477786667
"83",7,"1937",100.4,102.696782694533,"degrees",-3.17283623408889
"84",8,"1938",108.9,115.616574807911,"degrees",-3.2768636516
"85",9,"1939",123.6,126.455713272467,"degrees",-3.19884308846667
"86",10,"1940",157.3,114.039996797022,"degrees",-3.12082252533333
"87",11,"1941",154.3,101.387589434556,"degrees",-3.0428019622
"88",12,"1942",143.9,95.7951674495111,"degrees",-2.91276769031111
"89",13,"1943",147.5,119.669496209156,"degrees",-2.99078825344444
"90",14,"1944",97.3,127.335127312378,"degrees",-2.88676083593333
"91",15,"1945",76.6,125.493330606067,"degrees",-3.25085679722222
"92",16,"1946",72.8,97.242973828,"degrees",-3.90102815666667
"93",17,"1947",68.9,79.4349055645111,"degrees",-4.57720637048889
"94",18,"1948",66.7,74.5197225642,"degrees",-5.51345312808889
"95",19,"1949",55,71.8527422957333,"degrees",-5.90355594375556
"96",20,"1950",55,66.6707118860222,"degrees",-5.56546683684444
"97",21,"1951",55,63.0988269508667,"degrees",-5.3834188562
"98",22,"1952",54.7,58.1323292937333,"degrees",-5.07133660366667
"99",23,"1953",47.9,46.9730135429778,"degrees",-9.51850870226667
"100",24,"1954",49,49.4306536557111,"degrees",-4.70724064237778
"101",25,"1955",44.4,42.5967832464222,"degrees",-4.60321322486667
"102",26,"1956",40.2,41.2418994315111,"degrees",-4.86328176864444
"103",27,"1957",43.8,51.0901838815333,"degrees",-5.40942571057778
"104",28,"1958",49.5,58.6041271026889,"degrees",-5.90355594375556
"105",29,"1959",50.4,47.3079792148,"degrees",-6.39768617693333
"106",30,"1960",59.6,60.3829997335778,"degrees",-7.41195349766667
"107",31,"1961",72.4,71.0082897950444,"degrees",-8.14014542024444
"108",32,"1962",70.6,70.3584319447333,"degrees",-9.88260466355556
"109",33,"1963",82,79.2947630584889,"degrees",-10.9228788386667
"110",34,"1964",89.5,84.3682062310222,"degrees",-12.6133243732222
"111",35,"1965",101.3,91.7731014331333,"degrees",-15.3960577916444
"112",36,"1966",116.7,108.826658157933,"degrees",-18.1267775013111
"113",37,"1967",115.2,115.888911518289,"degrees",-20.9095109197333
"114",38,"1968",122.9,125.225403103089,"degrees",-23.5101963575111
"115",1,"1931",77.1,76.9457203227556,"mconvict",83.8609061272667
"116",2,"1932",92.9,77.1730711817556,"mconvict",80.3070215732667
"117",3,"1933",98.3,87.1044825715555,"mconvict",82.7408940254
"118",4,"1934",88.1,86.1816924822,"mconvict",79.0039305701333
"119",5,"1935",79.4,91.7008189678445,"mconvict",82.4608909999333
"120",6,"1936",91,99.8403644301333,"mconvict",87.9317193436667
"121",7,"1937",100.4,102.696782694533,"mconvict",88.5024947417333
"122",8,"1938",108.9,115.616574807911,"mconvict",103.041113371733
"123",9,"1939",123.6,126.455713272467,"mconvict",111.538128259933
"124",10,"1940",157.3,114.039996797022,"mconvict",102.4811073208
"125",11,"1941",154.3,101.387589434556,"mconvict",91.6363747575333
"126",12,"1942",143.9,95.7951674495111,"mconvict",82.8916648852667
"127",13,"1943",147.5,119.669496209156,"mconvict",87.3609439456
"128",14,"1944",97.3,127.335127312378,"mconvict",93.1979300918667
"129",15,"1945",76.6,125.493330606067,"mconvict",93.3487009517333
"130",16,"1946",72.8,97.242973828,"mconvict",104.247280250667
"131",17,"1947",68.9,79.4349055645111,"mconvict",96.277963372
"132",18,"1948",66.7,74.5197225642,"mconvict",89.4717359837333
"133",19,"1949",55,71.8527422957333,"mconvict",87.3609439456
"134",20,"1950",55,66.6707118860222,"mconvict",83.5055176718667
"135",21,"1951",55,63.0988269508667,"mconvict",79.6716300924
"136",22,"1952",54.7,58.1323292937333,"mconvict",79.7254768280667
"137",23,"1953",47.9,46.9730135429778,"mconvict",78.0885360638
"138",24,"1954",49,49.4306536557111,"mconvict",79.6823994395333
"139",25,"1955",44.4,42.5967832464222,"mconvict",71.4869262710667
"140",26,"1956",40.2,41.2418994315111,"mconvict",68.2453527839333
"141",27,"1957",43.8,51.0901838815333,"mconvict",77.1623722103333
"142",28,"1958",49.5,58.6041271026889,"mconvict",81.9547316846667
"143",29,"1959",50.4,47.3079792148,"mconvict",71.6484664780667
"144",30,"1960",59.6,60.3829997335778,"mconvict",79.9731718121333
"145",31,"1961",72.4,71.0082897950444,"mconvict",85.0563036590667
"146",32,"1962",70.6,70.3584319447333,"mconvict",83.6562885317333
"147",33,"1963",82,79.2947630584889,"mconvict",90.6994415569333
"148",34,"1964",89.5,84.3682062310222,"mconvict",86.0578529424667
"149",35,"1965",101.3,91.7731014331333,"mconvict",82.1701186273333
"150",36,"1966",116.7,108.826658157933,"mconvict",86.6501670348
"151",37,"1967",115.2,115.888911518289,"mconvict",84.1193704584667
"152",38,"1968",122.9,125.225403103089,"mconvict",91.5071425919333
"153",1,"1931",77.1,76.9457203227556,"bzero",24.7211201158889
"154",2,"1932",92.9,77.1730711817556,"bzero",24.7211201158889
"155",3,"1933",98.3,87.1044825715555,"bzero",24.7211201158889
"156",4,"1934",88.1,86.1816924822,"bzero",24.7211201158889
"157",5,"1935",79.4,91.7008189678445,"bzero",24.7211201158889
"158",6,"1936",91,99.8403644301333,"bzero",24.7211201158889
"159",7,"1937",100.4,102.696782694533,"bzero",24.7211201158889
"160",8,"1938",108.9,115.616574807911,"bzero",24.7211201158889
"161",9,"1939",123.6,126.455713272467,"bzero",24.7211201158889
"162",10,"1940",157.3,114.039996797022,"bzero",24.7211201158889
"163",11,"1941",154.3,101.387589434556,"bzero",24.7211201158889
"164",12,"1942",143.9,95.7951674495111,"bzero",24.7211201158889
"165",13,"1943",147.5,119.669496209156,"bzero",24.7211201158889
"166",14,"1944",97.3,127.335127312378,"bzero",24.7211201158889
"167",15,"1945",76.6,125.493330606067,"bzero",24.7211201158889
"168",16,"1946",72.8,97.242973828,"bzero",24.7211201158889
"169",17,"1947",68.9,79.4349055645111,"bzero",24.7211201158889
"170",18,"1948",66.7,74.5197225642,"bzero",24.7211201158889
"171",19,"1949",55,71.8527422957333,"bzero",24.7211201158889
"172",20,"1950",55,66.6707118860222,"bzero",24.7211201158889
"173",21,"1951",55,63.0988269508667,"bzero",24.7211201158889
"174",22,"1952",54.7,58.1323292937333,"bzero",24.7211201158889
"175",23,"1953",47.9,46.9730135429778,"bzero",24.7211201158889
"176",24,"1954",49,49.4306536557111,"bzero",24.7211201158889
"177",25,"1955",44.4,42.5967832464222,"bzero",24.7211201158889
"178",26,"1956",40.2,41.2418994315111,"bzero",24.7211201158889
"179",27,"1957",43.8,51.0901838815333,"bzero",24.7211201158889
"180",28,"1958",49.5,58.6041271026889,"bzero",24.7211201158889
"181",29,"1959",50.4,47.3079792148,"bzero",24.7211201158889
"182",30,"1960",59.6,60.3829997335778,"bzero",24.7211201158889
"183",31,"1961",72.4,71.0082897950444,"bzero",24.7211201158889
"184",32,"1962",70.6,70.3584319447333,"bzero",24.7211201158889
"185",33,"1963",82,79.2947630584889,"bzero",24.7211201158889
"186",34,"1964",89.5,84.3682062310222,"bzero",24.7211201158889
"187",35,"1965",101.3,91.7731014331333,"bzero",24.7211201158889
"188",36,"1966",116.7,108.826658157933,"bzero",24.7211201158889
"189",37,"1967",115.2,115.888911518289,"bzero",24.7211201158889
"190",38,"1968",122.9,125.225403103089,"bzero",24.7211201158889
